Row,Year,Primary Enrollment,GDP
0,2001,4099649.0,11561.2483689073
1,2002,4148432.0,13165.0657360554
2,2003,4185330.0,14672.8574703505
3,2004,4125529.0,16496.1200942502
4,2005,4031590.0,19402.5026259549
5,2006,3933186.0,21743.4774514254
6,2007,3837761.0,24086.4104391677
7,2008,3679629.0,21350.427979823
8,2009,3481764.0,19143.8516053025
9,2010,3306211.0,23087.2256438476
10,2011,3139724.0,25096.2638838239
11,2012,2959090.0,25466.7605170594
12,2013,2790890.0,27182.7343101936
13,2014,2736224.0,29249.5752209742
14,2015,2721766.0,28732.2310762599
15,2016,2680126.0,29288.8704389833
16,2017,2681815.0,31616.8434004683
17,2018,2719358.0,33436.9230646064
18,2019,2755682.0,31902.4169048194
19,2020,,31597.5046490718
